card_identifier;name;rarity;magic_ink_colors;got_normal;got_foil
1;Thomas;Commune;Ambre;14;0
2;Lilo;Commune;Ambre;10;2
3;Doudou;"Peu commune";Ambre;10;1
4;Pumbaa;Commune;Ambre;10;1
5;Tiana;Commune;Ambre;13;0
6;Nakoma;Commune;Ambre;14;1
7;Stitch;Rare;Ambre;2;0
8;Pocahontas;Commune;Ambre;10;0
9;David;Commune;Ambre;13;2
10;Cromeyer;Commune;Ambre;11;2
11;Powhatan;"Peu commune";Ambre;6;2
12;Sarabi;Commune;Ambre;12;1
13;"Grand-Mère Feuillage";"Peu commune";Ambre;7;1
14;"Cobra Bubbles";Rare;Ambre;6;0
15;"John Smith";"Peu commune";Ambre;8;0
16;Timon;Rare;Ambre;2;2
17;Lilo;"Super rare";Ambre;3;0
18;Pikly;"Peu commune";Ambre;5;2
19;"Jumba Jookiba";Rare;Ambre;6;0
20;Nani;"Peu commune";Ambre;7;0
21;Reuben;Rare;Ambre;0;0
22;Pocahontas;Légendaire;Ambre;2;0
23;Simba;"Peu commune";Ambre;10;0
24;Bambi;"Super rare";Ambre;0;2
25;Angel;"Peu commune";Ambre;9;0
26;"Veuve Tartine";Rare;Ambre;3;0
27;Percy;Commune;Ambre;13;0
28;"Tempête violente";"Super rare";Ambre;2;0
29;"Akood et Emuti";Rare;Ambre;1;0
30;"Maman te protégera";Commune;Ambre;12;0
31;"La sagesse du saule";"Peu commune";Ambre;8;0
32;"Ohana signifie famille";Légendaire;Ambre;1;0
33;"Boussole de John Smith";Rare;Ambre;4;0
34;Zootopie;Commune;Ambre;12;0
35;Nala;Commune;Améthyste;12;0
36;Alice;"Peu commune";Améthyste;9;0
37;Tigrou;Commune;Améthyste;12;2
38;"Fraîcheneige von Frimas";Commune;Améthyste;9;0
39;Flit;"Peu commune";Améthyste;10;0
40;Morgana;Commune;Améthyste;13;1
41;"Coco Lapin";"Peu commune";Améthyste;6;0
42;Pocahontas;"Super rare";Améthyste;1;0
43;"Myster Mask";Commune;Améthyste;12;2
44;Taram;"Peu commune";Améthyste;7;2
45;Bourriquet;Rare;Améthyste;5;1
46;Meeko;"Peu commune";Améthyste;8;1
47;Morgana;Rare;Améthyste;6;2
48;"La Fée Clochette";Légendaire;Améthyste;0;0
49;Génie;Rare;Améthyste;4;0
50;Anna;Légendaire;Améthyste;0;0
51;Kristoff;Rare;Améthyste;3;0
52;Anna;"Peu commune";Améthyste;9;0
53;Guimauve;Rare;Améthyste;3;0
54;"Vaches de l’espace";Commune;Améthyste;13;1
55;Jean-Christophe;"Peu commune";Améthyste;5;0
56;Lumpy;Commune;Améthyste;11;0
57;"Les sorcières de Morva";Rare;Améthyste;4;0
58;Heihei;Commune;Améthyste;12;2
59;Pua;Commune;Améthyste;12;0
60;Sven;"Super rare";Améthyste;2;0
61;"Je voudrais un bonhomme de neige";Rare;Améthyste;5;0
62;"Viens te battre !";Commune;Améthyste;12;0
63;"Manier l'épée";Commune;Améthyste;14;2
64;"L’air du vent";"Super rare";Améthyste;4;0
65;"Collier de la mère";"Peu commune";Améthyste;10;0
66;"Invocateur d’encre mystique";Rare;Améthyste;2;1
67;"Pot de miel";Commune;Améthyste;15;1
68;"La Plante gelée";"Peu commune";Améthyste;10;0
69;Mulan;"Super rare";Émeraude;1;0
70;Stitch;Commune;Émeraude;13;0
71;"Big Mama";"Peu commune";Émeraude;6;1
72;Minnie;Commune;Émeraude;13;1
73;Yao;Commune;Émeraude;12;2
74;Chien-Po;"Peu commune";Émeraude;9;1
75;Ling;Rare;Émeraude;3;1
76;Piqueur;Commune;Émeraude;12;2
77;Chernabog;"Super rare";Émeraude;2;0
78;Dinky;Commune;Émeraude;9;1
79;Sigmund;Rare;Émeraude;5;0
80;Twist;Commune;Émeraude;13;1
81;Aladdin;Commune;Émeraude;13;0
82;Mushu;"Peu commune";Émeraude;8;1
83;Dingo;"Super rare";Émeraude;4;1
84;Rouky;Rare;Émeraude;3;0
85;Rouky;Commune;Émeraude;13;0
86;Vixy;"Peu commune";Émeraude;9;1
87;Rox;Commune;Émeraude;13;0
88;Minnie;Rare;Émeraude;2;0
89;"Le lapin blanc";"Peu commune";Émeraude;5;0
90;Rox;Rare;Émeraude;3;0
91;"Mickey Mouse";"Peu commune";Émeraude;7;1
92;Rox;Légendaire;Émeraude;0;0
93;Donald;Légendaire;Émeraude;0;0
94;"Crois-moi j'ai vu pire";Commune;Émeraude;11;0
95;"Bataille de boules de neige";Commune;Émeraude;11;0
96;"Geler la Plante";Rare;Émeraude;5;0
97;"L’éducation ou l’élimination";"Peu commune";Émeraude;9;0
98;"Fort de neige";"Peu commune";Émeraude;10;2
99;"Bâton bakora de Rafiki";"Peu commune";Émeraude;8;0
100;"Rétro-fusil à évolution";Rare;Émeraude;3;0
101;Bélier;Rare;Émeraude;5;0
102;"Réserve de chasse";Commune;Émeraude;13;1
103;"Ralph la Casse";Légendaire;Rubis;1;0
104;"Balthazar Picsou";"Peu commune";Rubis;6;0
105;Donald;Commune;Rubis;12;2
106;"Toros Bulba";Commune;Rubis;13;0
107;Rouky;"Peu commune";Rubis;6;1
108;Mulan;"Peu commune";Rubis;7;0
109;Maui;Commune;Rubis;12;2
110;"Fa Zhou";Commune;Rubis;14;2
111;Liquidator;"Peu commune";Rubis;10;0
112;"Elisa Maza";Rare;Rubis;3;0
113;Iduna;Commune;Rubis;13;0
114;Agnarr;Commune;Rubis;13;0
115;"Sinister Mask";Commune;Rubis;12;1
116;"Sinister Mask";Rare;Rubis;5;0
117;Hercule;Commune;Rubis;11;0
118;"La Bête";"Super rare";Rubis;3;1
119;Blizzard;"Peu commune";Rubis;8;0
120;Dingo;Commune;Rubis;9;1
121;Dingo;Rare;Rubis;3;0
122;Olaf;Rare;Rubis;5;2
123;Elsa;Légendaire;Rubis;0;0
124;"Balthazar Picsou";"Super rare";Rubis;5;0
125;Elsa;"Peu commune";Rubis;7;0
126;"Willie le géant";Rare;Rubis;3;0
127;"La revanche de Nani";"Super rare";Rubis;4;0
128;"Plus puissant que les ouragans";Commune;Rubis;12;0
129;"Vers notre champ de bataille";Commune;Rubis;11;1
130;"Le prix de la liberté";Rare;Rubis;4;0
131;"À vos flèches";"Peu commune";Rubis;6;0
132;"Tombe solitaire";"Peu commune";Rubis;8;1
133;"Luth de Kristoff";Rare;Rubis;4;0
134;"Maison de comptage de Scrooge";"Peu commune";Rubis;8;0
135;"Cimetière du Noël futur";Rare;Rubis;5;0
136;"Château de la Bête";Commune;Rubis;12;0
137;"Petit Gourou";"Peu commune";Saphir;10;0
138;"Maman Gourou";Commune;Saphir;13;2
139;Porcinet;Commune;Saphir;13;2
140;"Mickey Mouse";Commune;Saphir;11;1
141;Minnie;Commune;Saphir;12;0
142;Sina;Commune;Saphir;11;0
143;"Cuicui Bourbifoot";Commune;Saphir;11;1
144;Daisy;"Peu commune";Saphir;10;0
145;"Myster Mask";"Peu commune";Saphir;3;0
146;"Jiminy Cricket";"Peu commune";Saphir;6;0
147;Porcinet;Rare;Saphir;4;1
148;"Grand-mère Tala";Rare;Saphir;2;1
149;"Poucinette Colvert";"Peu commune";Saphir;8;2
150;"Myster Mask";"Super rare";Saphir;2;0
151;"Winnie l'ourson";Commune;Saphir;14;2
152;"Balthazar Picsou";Légendaire;Saphir;1;0
153;"Calamity Fresque";"Peu commune";Saphir;9;1
154;Pat;Rare;Saphir;4;2
155;Vaiana;Légendaire;Saphir;0;0
156;Tamatoa;"Super rare";Saphir;4;0
157;Jojo;Rare;Saphir;4;1
158;Belle;"Super rare";Saphir;2;0
159;"Mickey Mouse";Rare;Saphir;6;1
160;"Balthazar Picsou";Commune;Saphir;12;3
161;Tui;Commune;Saphir;14;2
162;"Visite des Noëls passés";Rare;Saphir;4;1
163;"Libérée, Délivrée";Rare;Saphir;0;0
164;Distraction;Commune;Saphir;10;0
165;"Chute !";"Peu commune";Saphir;10;1
166;"Fumée bleue";Commune;Saphir;14;1
167;"Béquille de Tiny Tim";Commune;Saphir;12;0
168;"Fauteuils de Myster Mask";Rare;Saphir;5;0
169;"Appareil à gaz de Myster Mask";"Peu commune";Saphir;8;1
170;"Piège caché";"Peu commune";Saphir;9;2
171;Raiponce;Rare;Acier;2;0
172;"Flagada Jones";"Peu commune";Acier;9;2
173;"Prince Naveen";Commune;Acier;12;2
174;"Myster Mask";Commune;Acier;12;0
175;"Li Shang";Commune;Acier;13;2
176;Gantu;"Peu commune";Acier;8;1
177;"Flagada Jones";Commune;Acier;13;1
178;Donald;Commune;Acier;11;0
179;Chef;"Peu commune";Acier;6;1
180;"Amos Slade";Commune;Acier;11;0
181;McCorne;Commune;Acier;14;1
182;"Duke Weaselton";Rare;Acier;6;2
183;"Li Shang";"Peu commune";Acier;9;0
184;Nani;Commune;Acier;13;2
185;Stitch;Commune;Acier;12;0
186;"Dr Hämsterviel";Rare;Acier;3;0
187;Angela;"Super rare";Acier;3;0
188;"Myster Mask";Rare;Acier;4;1
189;Gigi;"Peu commune";Acier;9;1
190;"Présidente du Grand Conseil";Rare;Acier;6;0
191;Angel;Légendaire;Acier;0;0
192;"Myster Mask";Légendaire;Acier;1;0
193;"John Smith";"Super rare";Acier;4;1
194;"Judy Hopps";"Peu commune";Acier;6;0
195;Lilo;"Super rare";Acier;5;1
196;"Garde le feu millénaire";"Peu commune";Acier;9;1
197;"La terreur qui corrige les erreurs";Commune;Acier;11;1
198;"Cette chanson craint un mask";Rare;Acier;3;0
199;Givresort;"Peu commune";Acier;8;1
200;"Presque invincible";Commune;Acier;13;3
201;"Jumelles de théâtre infra-rose";Commune;Acier;12;0
202;"Le Myster Quack";Rare;Acier;4;0
203;"Unité de confinement";Rare;Acier;3;0
204;"Tour de Myster Mask";"Peu commune";Acier;7;0
205;Tiana;Épique;Ambre;0;0
206;"Grand-Mère Feuillage";Épique;Ambre;0;1
207;Stitch;Épique;Ambre;0;0
208;Tigrou;Épique;Améthyste;0;0
209;Anna;Épique;Améthyste;0;0
210;Génie;Épique;Améthyste;0;0
211;Aladdin;Épique;Émeraude;0;0
212;Mushu;Épique;Émeraude;0;0
213;Minnie;Épique;Émeraude;0;0
214;Hercule;Épique;Rubis;0;0
215;Elsa;Épique;Rubis;0;0
216;Dingo;Épique;Rubis;0;0
217;"Winnie l'ourson";Épique;Saphir;0;1
218;"Jiminy Cricket";Épique;Saphir;0;0
219;"Mickey Mouse";Épique;Saphir;0;1
220;Donald;Épique;Acier;0;0
221;"Judy Hopps";Épique;Acier;0;1
222;Raiponce;Épique;Acier;0;0
223;Lilo;Enchantée;Ambre;0;0
224;"Ohana signifie famille";Enchantée;Ambre;0;0
225;"Tempête violente";Enchantée;Ambre;0;0
226;Bourriquet;Enchantée;Améthyste;0;0
227;Anna;Enchantée;Améthyste;0;0
228;"L’air du vent";Enchantée;Améthyste;0;0
229;Mulan;Enchantée;Émeraude;0;0
230;Rox;Enchantée;Émeraude;0;0
231;"Geler la Plante";Enchantée;Émeraude;0;0
232;"Sinister Mask";Enchantée;Rubis;0;0
233;Elsa;Enchantée;Rubis;0;0
234;"Le prix de la liberté";Enchantée;Rubis;0;0
